Application Status,Admission Test,SSC,Terminal Degree,Offered
Complete,53,711,610,No
Complete,60,794,649,No
Complete,61,648,578,No
Complete,50,866,774,No
Complete,57,625,726,No
Complete,62,667,725,No
Complete,55,577,621,No
Complete,47,818,571,No
Complete,0,915,665,No
Complete,46,625,513,No
Complete,57,604,658,No
Complete,25,869,878,Yes
Complete,51,716,521,No
Complete,0,545,699,No
Complete,50,687,678,No
Complete,54,559,677,No
Complete,60,937,794,No
Complete,50,589,799,Yes
Complete,44,706,764,No
Complete,52,750,739,No
Complete,0,897,757,No
Complete,54,756,720,No
Complete,48,797,780,No
Complete,45,761,560,No
Complete,21,898,726,No
Complete,21,805,754,No
Complete,47,647,742,No
Complete,58,716,605,No
Complete,52,716,700,No
Complete,58,896,698,No
Complete,50,631,554,No
Complete,50,603,516,No
Complete,50,647,554,No
Complete,0,882,871,No
Complete,48,843,645,No
Complete,40,738,299,No
Complete,50,684,622,No
Complete,42,466,511,No
Complete,53,779,724,No
Complete,45,530,619,No
Complete,66,697,768,Yes
Complete,46,891,884,Yes
Complete,48,839,748,No
Complete,57,696,627,No
Complete,52,567,598,No
Complete,42,606,741,No
Complete,52,532,390,No
Complete,46,847,715,No
Complete,44,682,525,No
Complete,51,675,583,No
Complete,57,794,755,No
Complete,61,918,989,Yes
Complete,52,620,574,No
Complete,59,737,627,No
Complete,50,666,531,No
Complete,50,673,810,Yes
Complete,46,751,650,No
Complete,53,736,660,No
Complete,76,718,617,No
Complete,48,600,603,No
Complete,49,778,600,No
Complete,43,536,604,No
Complete,58,716,605,No
Complete,52,716,700,No
Complete,45,805,643,No
Complete,53,562,542,No
Complete,65,628,563,No
Complete,47,775,735,No
Complete,43,595,608,No
Complete,50,673,810,Yes
Complete,46,751,650,No
Complete,48,819,703,No
Complete,57,534,600,No
Complete,53,861,797,Yes
Complete,51,872,627,No
Complete,59,882,847,Yes
Complete,50,822,800,Yes
Complete,47,525,737,No
Complete,48,584,580,No
Complete,35,468,672,No
Complete,0,783,687,No
Complete,62,740,691,No
Complete,48,548,587,No
Complete,48,834,817,Yes
Complete,56,896,704,No
Complete,62,788,774,No
Complete,54,716,693,No
Complete,22,873,809,No
Complete,49,537,668,No
Complete,48,524,600,No
Complete,50,658,646,No
Complete,55,743,793,Yes
Complete,56,747,768,Yes
Complete,52,690,639,No
Complete,50,564,639,No
Complete,58,714,702,No
Complete,58,848,612,No
Complete,60,986,913,Yes
Complete,0,782,617,No
Complete,45,560,643,No
Complete,49,475,546,No
Complete,51,863,749,No
Complete,48,779,663,No
Complete,44,760,654,No
Complete,47,679,760,No
Complete,73,910,773,No
Complete,55,602,635,No
Complete,50,781,662,No
Complete,57,750,719,Yes
Complete,53,736,660,No
Complete,76,718,617,No
Complete,66,672,662,No
Complete,40,823,828,Yes
Complete,50,828,697,No
Complete,51,677,703,No
Complete,47,677,657,No
Complete,54,888,688,No
Complete,47,800,642,No
Complete,55,791,836,Yes
Complete,47,752,597,No
Complete,41,777,718,No
Complete,35,921,903,No
Complete,52,718,710,No
Complete,54,587,604,No
Complete,52,831,770,Yes
Complete,49,679,680,No
Complete,43,862,789,Yes
Complete,49,806,739,No
Complete,51,612,759,No
Complete,50,508,650,No
Complete,41,650,630,No
Complete,43,837,756,No
Complete,0,600,854,No
Complete,64,775,803,Yes
Complete,32,785,630,No
Complete,53,921,719,No
Complete,71,861,804,Yes
Complete,54,704,698,No
Complete,47,603,567,No
Complete,50,679,673,No
Complete,0,583,763,No
Complete,53,756,664,No
Complete,49,904,797,No
Complete,52,635,673,No
Complete,50,651,724,No
Complete,47,576,614,No
Complete,54,823,652,No
Complete,64,750,660,No
Complete,45,537,562,No
Complete,63,842,781,Yes
Complete,58,570,751,No
Complete,48,616,697,No
Complete,47,563,867,No
Complete,49,817,782,Yes
Complete,57,944,752,Yes
Complete,60,738,719,No
Complete,55,835,711,No
Complete,17,819,842,No
Complete,57,702,695,No
Complete,47,662,588,No
Complete,47,851,681,No
Complete,38,749,641,No
Complete,50,537,737,No
Complete,50,838,868,Yes
Complete,40,900,641,No
Complete,48,689,633,No
Complete,50,603,611,No
Complete,44,805,642,No
Complete,53,602,584,No
Complete,55,655,722,No
Complete,59,821,732,No
Complete,53,613,736,No
Complete,38,690,711,No
Complete,46,802,727,No
Complete,52,656,742,No
Complete,55,674,652,No
Complete,50,558,585,No
Complete,47,747,701,No
Complete,48,675,695,No
Complete,54,654,679,No
Complete,61,729,706,No
Complete,50,840,798,Yes
Complete,55,655,722,No
Complete,57,696,627,No
Complete,52,532,390,No
Complete,0,783,687,No
Complete,56,896,704,No
Complete,35,921,903,No
Complete,48,650,817,Yes
Complete,47,800,642,No
Complete,0,525,754,No
Complete,0,729,789,No
Complete,71,763,793,Yes
Complete,52,903,826,Yes
Complete,51,660,809,Yes
Complete,49,910,813,Yes
Complete,81,844,901,Yes
Complete,50,572,671,No
Complete,61,850,804,Yes
Complete,62,909,836,Yes
Complete,71,966,909,Yes
Complete,29,712,608,No
Complete,65,602,762,Yes
Complete,45,850,837,Yes
Complete,59,824,890,Yes
Complete,56,903,713,No
Complete,52,687,701,No
Complete,49,527,603,No
Complete,52,811,820,Yes
Complete,41,732,811,Yes
Complete,0,543,554,No
Complete,50,651,702,No
Complete,50,618,640,No
Complete,46,757,596,No
Complete,46,715,591,No
Complete,40,684,707,No
Complete,0,798,752,No
Complete,35,684,620,No
Complete,58,670,598,No
Complete,52,733,672,No
Complete,44,883,607,No
Complete,54,756,745,No
Complete,48,712,855,Yes
Complete,0,811,633,No
Complete,62,735,710,No
Complete,58,809,670,No
Complete,26,658,539,No
Complete,62,714,752,Yes
Complete,46,718,647,No
Complete,51,673,765,Yes
Complete,49,818,603,No
Complete,38,477,508,No
Complete,50,777,629,No
Complete,51,814,681,No
Complete,47,608,733,No
Complete,82,783,784,Yes
Complete,63,861,781,No
Complete,63,821,852,Yes
Complete,58,598,563,No
Complete,49,772,666,No
Complete,44,801,579,No
Complete,50,653,522,No
Complete,53,747,675,No
Complete,57,801,736,No
Complete,40,689,781,No
Complete,42,610,587,No
Complete,45,794,688,No
Complete,48,712,725,No
Complete,44,674,590,No
Complete,61,866,757,Yes
Complete,0,726,677,No
Complete,44,662,704,No
Complete,59,795,675,No
Complete,39,706,650,No
Complete,21,803,822,No
Complete,48,672,675,No
Complete,48,489,505,No
Complete,49,529,667,No
Complete,41,764,645,No
Complete,50,854,830,Yes
Complete,0,762,674,No
Complete,55,802,639,No
Complete,61,648,691,No
Complete,40,533,648,No
Complete,50,777,830,Yes
Complete,46,564,710,No
Complete,49,612,573,No
Complete,42,897,669,No
Complete,45,850,826,Yes
Complete,55,618,640,No
Complete,65,633,545,No
Complete,56,774,824,Yes
Complete,42,765,692,No
Complete,52,705,686,No
Complete,50,503,578,No
Complete,57,789,848,Yes
Complete,49,580,720,No
Complete,40,620,651,No
Complete,50,806,802,Yes
Complete,45,919,650,No
Complete,54,786,698,No
Complete,59,824,890,Yes
Complete,56,854,951,Yes
Complete,50,864,652,No
Complete,50,761,626,No
Complete,1,655,712,No
Complete,45,836,592,No
Complete,35,668,602,No
Complete,0,892,771,No
Complete,53,703,769,No
Complete,0,540,607,No
Complete,50,793,513,No
Complete,53,774,727,No
Complete,47,853,624,No
Complete,0,572,669,No
Complete,53,669,749,No
Complete,47,943,779,No
Complete,44,591,730,No
Complete,62,556,536,No
Complete,51,590,706,No
Complete,46,864,672,No
Complete,57,742,968,Yes
Complete,59,823,788,Yes
Complete,50,547,715,No
Complete,43,843,571,No
Complete,51,472,536,No
Complete,41,751,612,No
Complete,46,649,634,No
Complete,52,630,714,No
Complete,52,950,757,Yes
Complete,49,789,683,No
Complete,45,650,621,No
Complete,49,676,626,No
Complete,50,617,481,No
Complete,50,636,730,No
Complete,43,645,480,No
Complete,50,550,595,No
Complete,49,555,663,No
Complete,66,723,730,No
Complete,41,917,759,No
Complete,47,769,591,No
Complete,55,790,744,No
Complete,65,787,660,No
Complete,47,662,700,No
Complete,46,514,683,No
Complete,50,529,583,No
Complete,44,493,535,No
Complete,60,702,602,No
Complete,40,560,754,No
Complete,40,644,528,No
Complete,55,845,634,No
Complete,48,568,574,No
Complete,61,626,644,No
Complete,50,569,580,No
Complete,0,555,619,No
Complete,49,537,704,No
Complete,38,866,710,No
Complete,53,592,560,No
Complete,50,783,581,No
Complete,58,892,844,Yes
Complete,50,610,689,No
Complete,0,567,663,No
Complete,44,795,791,Yes
Complete,40,656,722,No
Complete,55,683,752,No
Complete,46,569,503,No
Complete,46,643,616,No
Complete,0,555,680,No
Complete,54,814,675,No
Complete,0,746,699,No
Complete,48,708,668,No
Complete,0,788,667,No
Complete,44,769,623,No
Complete,50,683,794,Yes
Complete,47,804,578,No
Complete,48,771,611,No
Complete,0,743,609,No
Complete,31,526,666,No
Complete,47,800,726,No
Complete,0,809,583,No
Complete,0,688,666,No
Complete,55,800,771,Yes
Complete,50,583,727,No
Complete,50,647,631,No
Complete,52,802,765,Yes
Complete,50,640,632,No
Complete,70,982,975,No
Complete,38,779,706,No
Complete,48,691,721,No
Complete,65,751,765,Yes
Complete,0,900,830,No
Complete,0,626,674,No
Complete,40,820,819,No
Complete,55,662,636,No
Complete,0,714,596,No
Complete,47,643,625,No
Complete,64,708,605,No
Complete,29,712,608,No
Complete,44,615,600,No
Complete,46,855,632,No
Complete,50,588,659,No
Complete,54,809,680,No
Complete,49,729,753,No
Complete,48,617,724,No
Complete,52,762,746,No
Complete,49,772,666,No
Complete,59,823,788,Yes
Complete,53,592,560,No
Complete,0,743,609,No
Complete,50,683,794,Yes
Complete,66,933,814,Yes
Complete,58,850,770,Yes
Complete,63,836,827,Yes
Complete,46,917,912,Yes
Complete,54,876,839,Yes
Complete,59,811,810,Yes
Complete,49,550,863,Yes
Complete,52,670,610,No
Complete,44,526,763,No
Complete,50,705,617,No
Complete,40,565,648,No
Complete,44,784,771,No
Complete,17,768,862,No
Complete,53,805,738,No
Complete,49,683,619,No
Complete,48,831,684,No
Complete,41,702,682,No
Complete,24,562,498,No
Complete,52,876,648,No
Complete,48,544,635,No
Complete,59,653,579,No
Complete,0,677,703,No
Complete,47,689,722,No
Complete,56,625,648,No
Complete,46,847,809,Yes
Complete,46,719,655,No
Complete,55,596,530,No
Complete,40,771,570,No
Complete,41,708,775,Yes
Complete,49,765,795,Yes
Complete,0,591,624,No
Complete,49,526,671,No
Complete,56,735,671,No
Complete,45,745,711,No
Complete,60,861,760,No
Complete,45,671,624,No
Complete,45,662,571,No
Complete,62,920,896,Yes
Complete,0,712,944,No
Complete,55,588,771,Yes
Complete,47,723,623,No
Complete,0,729,789,No
Complete,51,794,624,No
Complete,46,755,736,No
Complete,59,708,696,No
Complete,47,914,844,Yes
Complete,41,714,657,No
Complete,40,509,766,No
Complete,56,782,758,Yes
Complete,50,558,636,No
Complete,40,837,706,No
Complete,51,724,648,No
Complete,45,611,570,No
Complete,42,482,637,No
Complete,44,563,600,No
Complete,33,598,695,No
Complete,41,590,695,No
Complete,54,774,693,No
Complete,37,613,532,No
Complete,33,630,438,No
Complete,43,547,660,No
Complete,57,841,770,Yes
Complete,56,593,589,No
Complete,42,729,648,No
