Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered
Challan Printed,1028.636,OPEN,female,Punjab,69,69,903,964,186,178,167,45,178,0,0,No
Application Fee Received,935,OPEN,female,Punjab,62,0,840,878,125,174,171,186,46,0,0,No
Application Fee Received,954.818,OPEN,female,Punjab,52,52,829,892,171,155,151,39,170,0,0,No
Application Fee Received,948,OPEN,female,Punjab,50,0,849,903,179,47,43,166,187,0,0,No
Application Fee Received,953,OPEN,female,Punjab,51,0,956,907,156,44,41,169,171,0,0,No
Application Fee Received,987.091,OPEN,female,Punjab,59,59,941,913,137,36,46,164,183,0,0,No
Application Fee Received,921,OPEN,male,Punjab,51,0,937,875,181,129,157,146,0,0,0,No
Application Fee Received,1000.727,OPEN,female,Punjab,79,79,923,926,127,180,181,186,48,0,0,No
Application Fee Received,1008,OPEN,male,Punjab,73,73,896,920,165,46,40,176,174,0,0,No
Application Fee Received,1009.727,OPEN,female,Punjab,70,70,866,944,182,160,168,44,186,0,0,No
Application Fee Received,1039,OPEN,male,Punjab,67,66,852,977,189,184,178,176,48,0,0,No
Application Fee Received,835,OPEN,female,Punjab,44,0,841,796,125,141,114,46,166,0,0,No
Application Fee Received,852,OPEN,female,Punjab,49,0,961,808,146,156,139,37,145,0,0,No
Application Fee Received,920,OPEN,female,Punjab,52,0,924,873,153,158,157,44,171,0,0,No
Application Fee Received,723,OPEN,male,Punjab,48,0,699,680,143,46,112,115,116,0,0,No
Application Fee Received,1029.909,OPEN,male,Punjab,80,80,841,959,168,170,182,181,47,0,0,No
Challan Printed,751.091,OPEN,male,Punjab,50,50,678,686,118,107,138,121,0,0,0,No
Challan Printed,829,OPEN,male,Punjab,39,39,589,834,152,158,144,41,162,0,0,No
Application Fee Received,953,OPEN,male,Punjab,63,0,850,895,157,161,185,47,151,0,0,No
Challan Printed,672,OPEN,male,Punjab,0,0,745,677,125,70,118,68,95,0,0,No
Application Fee Received,814.455,OPEN,female,Punjab,45,45,843,774,140,136,133,139,39,0,0,No
Application Fee Received,974,OPEN,female,Punjab,50,0,829,929,146,169,180,39,190,0,0,No
Application Fee Received,995,OPEN,female,Punjab,60,0,877,940,0,0,0,0,0,0,0,No
Application Fee Received,843,OPEN,male,Punjab,52,46,873,796,0,0,0,0,0,0,0,No
Application Fee Received,1032.364,OPEN,male,Punjab,80,80,851,957,169,183,174,0,185,0,0,No
Application Fee Received,945,OPEN,female,Punjab,54,0,960,896,131,171,47,167,43,0,0,No
Application Fee Received,933.364,OPEN,male,Punjab,74,74,889,864,158,138,154,48,178,0,0,No
Application Fee Received,938.091,OPEN,male,Punjab,59,59,831,884,160,177,177,37,135,0,0,No
Application Fee Received,973,OPEN,male,Punjab,57,0,905,921,177,174,43,155,41,0,0,No
Application Fee Received,824,OPEN,female,Punjab,58,0,858,771,129,138,45,107,47,0,0,No
Application Fee Received,958,OPEN,male,Punjab,55,0,962,908,163,180,169,152,0,0,0,No
Application Fee Received,1079.091,OPEN,female,Punjab,79,79,923,1005,181,194,184,48,190,1,0,Yes
Application Fee Received,999.091,OPEN,male,Punjab,63,63,911,951,153,190,43,172,45,0,0,No
Admission Fee Challan Received,1036.091,OPEN,female,Punjab,77,77,907,964,172,184,162,184,0,1,0,Yes
Application Fee Received,985.545,OPEN,female,Punjab,69,69,929,926,172,156,187,45,158,0,0,No
Application Fee Received,964.818,OPEN,male,Punjab,59,59,808,890,183,160,164,42,150,1,0,No
Application Fee Received,811,OPEN,female,Punjab,42,0,743,779,120,119,137,162,0,0,0,No
Application Fee Received,1034,OPEN,male,Punjab,70,70,940,969,175,48,43,190,170,0,0,No
Application Fee Received,794,OPEN,female,Punjab,34,0,801,765,110,142,114,167,47,0,0,No
Application Fee Received,968.273,OPEN,male,Punjab,69,69,855,904,142,175,178,165,48,0,0,No
Application Fee Received,995,OPEN,male,Punjab,63,0,933,937,179,172,45,160,46,0,0,No
Admission Fee Challan Received,1050.909,OPEN,male,Punjab,85,85,939,975,173,188,186,181,0,1,0,Yes
Challan Printed,1048.182,OPEN,male,Punjab,86,86,928,972,167,182,191,174,0,0,0,No
Challan Printed,1068.455,OPEN,male,Punjab,76,76,904,997,179,185,190,48,186,0,0,No
Application Fee Received,966,OPEN,male,Punjab,61,61,846,910,155,178,181,147,41,0,0,No
Challan Printed,903,OPEN,male,Punjab,54,0,867,854,164,147,158,40,145,0,0,No
Application Fee Received,789,OPEN,female,Punjab,44,0,796,750,128,108,144,136,45,0,0,No
Application Fee Received,951,OPEN,male,Punjab,65,0,891,891,0,0,0,0,0,0,0,No
Application Fee Received,953,OPEN,male,Punjab,67,0,787,891,157,160,42,178,45,0,0,No
Application Fee Received,1007.364,OPEN,male,Punjab,65,65,636,947,156,192,40,178,48,0,0,No
Application Fee Received,965.636,OPEN,male,Punjab,64,64,909,906,0,0,0,0,0,0,0,No
Application Fee Received,810,OPEN,female,Punjab,42,0,727,778,0,0,0,0,0,0,0,No
Application Fee Received,982,OPEN,female,Punjab,54,0,835,933,0,0,0,0,0,0,0,No
Challan Printed,641,OPEN,male,Punjab,42,0,734,604,121,104,39,106,43,0,0,No
Application Fee Received,895,OPEN,male,Punjab,51,0,759,854,0,0,0,0,0,0,0,No
Application Fee Received,1073.636,OPEN,male,Punjab,81,81,960,977,189,174,199,45,179,1,0,Yes
Application Fee Received,965,OPEN,female,Punjab,54,0,916,916,0,0,0,0,0,0,0,No
Application Fee Received,985,OPEN,female,Punjab,54,0,847,936,169,173,168,45,178,0,0,No
Application Fee Received,1004.364,Bahawalpur,female,Punjab,68,68,941,946,165,184,172,186,0,0,0,No
Application Fee Received,1016,OPEN,female,Punjab,78,0,911,943,186,47,168,46,181,0,0,No
Application Fee Received,788,OPEN,male,Punjab,51,0,919,727,98,37,149,44,107,0,0,No
Admission Fee Challan Received,1046,OPEN,female,Punjab,74,74,923,977,177,194,184,45,47,1,0,Yes
Application Fee Received,967,OPEN,male,Punjab,55,50,858,917,166,46,44,163,150,0,0,No
Application Received,870,OPEN,female,Punjab,55,0,748,845,154,143,143,163,46,0,0,No
Application Fee Received,888,OPEN,female,Punjab,56,0,830,837,148,144,147,34,165,0,0,No
Application Fee Received,932,OPEN,female,Punjab,56,0,855,881,179,175,147,46,133,0,0,No
Challan Printed,978.364,OPEN,female,Punjab,67,67,887,916,179,174,180,160,43,0,0,No
Application Fee Received,986,OPEN,female,Punjab,63,0,872,928,172,168,171,167,47,0,0,No
Challan Printed,967,OPEN,female,Punjab,42,0,856,930,158,183,172,166,44,0,0,No
Application Fee Received,993,OPEN,male,Punjab,52,0,872,946,180,180,166,174,0,0,0,No
Application Fee Received,978,OPEN,male,Punjab,48,0,835,935,172,156,182,47,181,0,0,No
Application Fee Received,921,OPEN,female,Punjab,50,45,822,876,169,160,129,172,0,0,0,No
Challan Printed,886,OPEN,male,Punjab,45,0,634,846,142,153,168,32,153,0,0,No
Application Fee Received,801,OPEN,male,Punjab,43,0,784,763,135,142,133,129,0,0,0,No
Application Fee Received,1000,OPEN,female,Punjab,50,0,888,960,177,189,172,173,45,0,0,No
Application Fee Received,949,OPEN,female,Punjab,60,0,852,894,171,147,155,50,44,0,0,No
Application Fee Received,982,OPEN,female,Punjab,53,0,885,934,174,160,171,44,185,0,0,No
Application Fee Received,957,OPEN,male,Punjab,53,0,865,909,173,163,182,144,44,0,0,No
Application Fee Received,970,OPEN,female,Punjab,60,0,845,915,156,182,173,175,44,0,0,No
Application Fee Received,1003,OPEN,female,Punjab,76,0,906,932,165,177,45,167,47,0,0,No
Application Fee Received,903,OPEN,male,Punjab,51,0,928,857,152,173,160,115,47,0,0,No
Challan Printed,972.727,OPEN,male,Punjab,60,60,960,917,171,157,183,46,173,0,0,No
Application Fee Received,965.909,OPEN,female,Punjab,58,58,992,912,161,173,170,47,164,0,0,No
Application Fee Received,864.273,OPEN,female,Punjab,55,55,862,814,156,112,157,48,146,0,0,No
Application Fee Received,945,OPEN,male,Punjab,58,0,956,892,159,164,169,0,151,0,0,No
Application Fee Received,941,OPEN,female,Punjab,51,0,830,895,171,158,161,162,0,0,0,No
Admission Fee Challan Received,1037,OPEN,female,Punjab,81,81,950,946,0,0,0,0,0,1,0,Yes
Application Fee Received,1035.727,OPEN,female,Punjab,78,78,914,962,177,182,184,170,0,0,0,No
Application Fee Received,963,OPEN,male,Punjab,56,0,864,912,157,167,172,47,180,1,0,No
Application Fee Received,652,OPEN,female,Punjab,43,0,720,614,105,80,124,85,45,0,0,No
Application Fee Received,777,OPEN,male,Punjab,45,0,750,737,133,125,145,46,48,0,0,No
Application Fee Received,952.818,OPEN,female,Punjab,67,67,928,895,170,173,158,159,0,0,0,No
Application Fee Received,817,OPEN,female,Punjab,41,0,798,781,151,160,128,0,111,0,0,No
Application Fee Received,1056.636,OPEN,female,Punjab,82,82,989,979,175,186,194,47,167,0,0,No
Challan Printed,952,OPEN,male,Punjab,68,0,953,889,143,162,152,47,175,0,0,No
Challan Printed,976,OPEN,male,Punjab,88,0,899,893,0,0,0,0,0,0,0,No
Application Fee Received,934,OPEN,female,Punjab,64,0,789,875,156,165,146,159,47,0,0,No
Application Fee Received,922.455,OPEN,male,Punjab,63,63,932,864,0,0,0,0,0,0,0,No
Application Fee Received,984,OPEN,female,Punjab,52,0,883,937,150,0,0,0,0,0,0,No
Challan Printed,1050.455,OPEN,male,Punjab,81,81,931,974,147,196,183,45,192,0,0,No
Application Fee Received,922,OPEN,female,Punjab,64,0,839,863,152,161,156,158,44,0,0,No
Challan Printed,740,OPEN,male,Punjab,43,0,861,702,147,40,33,126,147,0,0,No
Application Fee Received,1024,OPEN,male,Punjab,84,84,870,945,0,0,0,0,0,0,0,No
Application Fee Received,995.273,Bahawalpur,female,Punjab,72,72,724,928,163,171,162,192,43,0,0,No
Application Fee Received,941,OPEN,male,Punjab,55,0,847,891,156,143,180,48,165,0,0,No
Application Fee Received,854,OPEN,female,Punjab,37,37,763,859,135,41,44,168,148,0,0,No
Application Fee Received,948,OPEN,male,Punjab,55,0,866,898,158,46,43,162,174,0,0,No
Application Fee Received,953.909,OPEN,male,Punjab,46,46,819,912,177,171,184,145,44,0,0,No
Application Fee Received,788,OPEN,female,Punjab,50,43,923,753,168,132,148,43,85,0,0,No
Application Fee Received,1005,OPEN,male,Punjab,77,77,939,938,158,44,44,181,179,0,0,No
Challan Printed,1027.818,OPEN,male,Punjab,78,78,944,954,170,44,47,193,172,0,0,No
Challan Printed,984.727,OPEN,male,Punjab,72,72,908,922,168,170,155,179,0,0,0,No
Application Fee Received,891,OPEN,male,Punjab,55,0,984,841,170,158,46,132,40,0,0,No
Application Fee Received,912,OPEN,male,Punjab,46,0,900,871,172,170,173,145,44,0,0,No
Application Fee Received,972.273,OPEN,male,Punjab,66,66,874,916,0,0,0,0,0,0,0,No
Challan Printed,1045,OPEN,female,Punjab,63,0,929,987,177,45,46,192,176,0,0,No
Application Fee Received,983,OPEN,male,Punjab,59,0,971,929,162,44,42,174,175,0,0,No
Application Fee Received,927,OPEN,male,Punjab,47,0,893,885,147,149,164,162,48,0,0,No
Challan Printed,744,OPEN,male,Punjab,43,0,809,706,0,0,0,0,0,0,0,No
Challan Printed,913.091,OPEN,male,Punjab,81,81,944,837,0,0,0,0,0,0,0,No
Application Fee Received,798,OPEN,female,Punjab,0,0,772,808,157,0,0,0,0,0,0,No
Application Fee Received,872,OPEN,female,Punjab,56,0,852,821,0,0,0,0,0,0,0,No
Challan Printed,970.364,OPEN,male,Punjab,73,73,912,902,0,0,0,0,0,0,0,No
Application Fee Received,998.818,OPEN,female,Punjab,55,55,818,948,171,47,47,170,179,0,0,No
Application Fee Received,1006.273,OPEN,male,Punjab,79,79,889,932,0,0,0,0,0,0,0,No
Challan Printed,889,OPEN,male,Punjab,54,0,776,840,151,106,175,45,174,0,0,No
Application Fee Received,950,OPEN,female,Punjab,74,0,852,881,169,40,163,155,171,0,0,No
Application Fee Received,948.545,OPEN,male,Punjab,70,70,898,883,0,0,0,0,0,0,0,No
Application Fee Received,988.182,OPEN,female,Punjab,76,76,847,917,178,156,173,46,176,0,0,No
Application Fee Received,899,OPEN,male,Punjab,51,0,998,843,0,0,0,0,0,0,0,No
Application Fee Received,957.182,OPEN,female,Punjab,48,48,821,914,176,46,48,155,160,0,0,No
Application Fee Received,992.091,OPEN,male,Punjab,83,83,878,914,154,170,163,182,46,0,0,No
Application Fee Received,926.727,OPEN,male,Punjab,72,72,840,859,144,168,143,40,178,0,0,No
Challan Printed,1055.909,OPEN,male,Punjab,86,86,999,979,194,190,175,48,183,0,0,No
Challan Printed,929,OPEN,female,Punjab,0,0,945,934,0,0,0,0,0,0,0,No
Application Fee Received,1021,OPEN,female,Punjab,55,0,931,971,176,46,48,181,172,0,0,No
Application Fee Received,921,OPEN,female,Punjab,52,0,889,874,148,177,163,39,46,0,0,No
Application Fee Received,956.727,OPEN,female,Punjab,58,58,893,903,164,0,0,0,0,0,0,No
Challan Printed,946.818,OPEN,female,Punjab,69,69,918,882,163,45,158,155,43,0,0,No
Application Fee Received,651,OPEN,female,Punjab,41,0,585,615,41,96,25,155,75,0,0,No
Application Received,912,OPEN,female,Punjab,53,0,846,864,138,42,174,162,153,0,0,No
Application Fee Received,1033,OPEN,male,Punjab,86,86,907,957,161,188,193,163,46,0,0,No
Application Fee Received,976.364,OPEN,female,Punjab,66,66,925,915,148,182,162,175,39,0,0,No
Application Received,1026.545,OPEN,male,Punjab,76,76,967,955,179,189,179,49,41,0,0,No
Application Fee Received,671,OPEN,female,Punjab,0,0,591,696,111,120,134,105,44,0,0,No
Challan Printed,765,OPEN,male,Punjab,0,0,682,770,79,111,96,129,86,0,0,No
Application Fee Received,1001.182,OPEN,female,Punjab,76,76,830,930,172,158,158,48,172,0,0,No
Application Fee Received,1023.273,OPEN,female,Punjab,71,71,886,957,153,190,192,165,0,0,0,No
Challan Printed,906.909,OPEN,male,Punjab,50,50,780,861,0,0,0,0,0,0,0,No
Application Fee Received,977,OPEN,female,Punjab,53,50,869,929,189,156,159,48,147,0,0,No
Application Fee Received,996.455,OPEN,female,Punjab,75,75,931,931,181,171,174,40,178,0,0,No
Application Fee Received,1012.818,OPEN,male,Punjab,74,74,945,943,174,47,180,173,164,0,0,No
Application Fee Received,847,OPEN,female,Punjab,57,0,697,795,150,44,41,134,152,0,0,No
Application Received,973.182,OPEN,female,Punjab,62,62,876,916,172,189,150,166,46,0,0,No
Application Fee Received,1026.636,OPEN,male,Punjab,78,78,884,953,194,179,172,167,45,0,0,No
Application Fee Received,1018.364,OPEN,female,Punjab,78,78,790,950,180,167,187,48,174,0,0,No
Application Fee Received,939,OPEN,female,Punjab,49,0,810,895,183,155,159,45,163,0,0,No
Application Fee Received,676,OPEN,female,Punjab,0,0,769,681,0,0,0,0,0,0,0,No
Challan Printed,1022,OPEN,female,Punjab,62,0,971,965,184,172,189,48,43,0,0,No
Admission Fee Challan Received,1078,OPEN,female,Punjab,80,0,924,1003,0,0,0,0,0,1,0,Yes
Application Fee Received,1026,OPEN,male,Punjab,84,70,876,947,185,40,185,164,184,0,0,No
Application Fee Received,1035,OPEN,female,Punjab,72,0,952,968,166,178,181,48,189,0,0,No
Challan Printed,914,OPEN,male,Punjab,65,0,869,854,133,161,174,48,149,0,0,No
Application Fee Received,949.909,OPEN,male,Punjab,57,57,878,897,135,176,171,182,0,0,0,No
Application Fee Received,965,OPEN,female,Punjab,53,0,949,917,143,169,179,0,184,0,0,No
Application Fee Received,887,OPEN,female,Punjab,53,0,819,839,160,124,156,43,158,0,0,No
Application Fee Received,985.727,OPEN,female,Punjab,77,77,892,913,179,169,170,164,43,0,0,No
Application Fee Received,1034,OPEN,female,Punjab,65,0,864,974,184,172,191,49,184,1,0,Yes
Challan Printed,843,OPEN,male,Punjab,79,0,816,769,116,126,139,46,155,0,0,No
Application Fee Received,978,OPEN,female,Punjab,58,0,833,925,133,49,188,167,182,0,0,No
Application Fee Received,872,OPEN,male,Punjab,54,29,978,823,162,44,152,141,125,0,0,No
Application Fee Received,876,OPEN,male,Punjab,57,0,824,824,145,126,150,41,46,0,0,No
Application Fee Received,863,OPEN,female,Punjab,45,0,862,823,148,46,44,153,133,0,0,No
Application Fee Received,1033.364,OPEN,female,Punjab,72,72,866,971,169,177,194,45,194,0,0,No
Challan Printed,1017,OPEN,male,Punjab,77,72,959,950,177,186,173,171,38,0,0,No
Application Fee Received,819,OPEN,male,Punjab,27,27,826,824,173,151,112,140,0,0,0,No
Application Fee Received,1017,OPEN,male,Punjab,72,0,928,950,169,43,169,45,183,0,0,No
Challan Printed,1009,OPEN,female,Punjab,57,0,911,957,188,172,188,0,0,0,0,No
Application Fee Received,1050.727,OPEN,male,Punjab,78,78,854,982,186,184,172,0,188,0,0,No
Application Fee Received,1062.909,OPEN,female,Punjab,81,81,968,991,179,185,185,48,167,1,0,Yes
Application Fee Received,901,OPEN,male,Punjab,54,0,824,852,159,150,165,45,142,0,0,No
Application Fee Received,888,OPEN,female,Punjab,46,38,886,847,0,0,0,0,0,0,0,No
Application Fee Received,1041.091,OPEN,female,Punjab,66,66,950,980,0,0,0,0,0,0,0,No
Application Fee Received,1019.182,OPEN,female,Punjab,73,73,854,951,0,0,0,0,0,0,0,No
Challan Printed,975,OPEN,male,Punjab,62,0,885,918,145,48,172,182,173,0,0,No
Application Fee Received,930,OPEN,female,Punjab,69,0,926,866,170,172,125,161,0,0,0,No
Application Fee Received,813,OPEN,male,Punjab,42,0,872,776,141,141,141,107,0,0,0,No
Application Fee Received,934,OPEN,male,Punjab,65,0,946,874,174,44,168,163,141,0,0,No
Challan Printed,1037.273,OPEN,female,Punjab,78,78,905,964,179,0,188,0,183,0,0,No
Application Fee Received,993,OPEN,male,Punjab,63,0,931,935,171,166,41,172,46,0,0,No
Application Fee Received,999,OPEN,male,Punjab,74,0,894,930,167,168,183,45,164,0,0,No
Challan Printed,1045.545,OPEN,female,Punjab,69,69,863,986,184,194,187,43,174,0,0,No
Application Fee Received,906,OPEN,female,Punjab,41,38,841,870,0,0,0,0,0,0,0,No
Challan Printed,919,OPEN,female,Punjab,31,0,817,893,165,174,135,173,45,0,0,No
Application Received,798,OPEN,male,Punjab,54,0,866,749,0,0,0,0,0,0,0,No
Challan Printed,1010.909,OPEN,female,Punjab,72,72,865,943,172,44,183,171,164,0,0,No
Application Fee Received,979.909,OPEN,female,Punjab,41,41,899,923,182,148,187,48,149,0,0,No
Application Fee Received,1016.636,OPEN,female,Punjab,76,76,908,945,174,185,172,40,176,0,0,No
Application Fee Received,971.727,OPEN,male,Punjab,70,70,888,911,158,180,44,162,44,0,0,No
Application Fee Received,961.727,Bahawalpur,female,Punjab,50,50,974,916,170,46,42,174,170,0,0,No
Application Fee Received,1008.818,OPEN,male,Punjab,79,79,840,934,182,164,185,39,173,0,0,No
Challan Printed,876,OPEN,male,Punjab,0,0,834,881,47,47,165,172,169,0,0,No
Application Fee Received,959.636,OPEN,male,Punjab,50,50,879,914,0,0,0,0,0,0,0,No
Application Fee Received,1009.545,OPEN,male,Punjab,64,64,959,950,178,172,162,45,46,0,0,No
Application Fee Received,939,OPEN,male,Punjab,63,0,891,881,163,46,39,161,136,0,0,No
Application Fee Received,1032,OPEN,female,Punjab,73,0,869,964,172,187,183,176,45,0,0,No
Challan Printed,1025.091,OPEN,female,Punjab,75,75,836,960,150,177,187,46,175,0,0,No
Challan Printed,1049.545,OPEN,male,Punjab,55,55,970,979,0,0,0,0,0,0,0,No
Application Fee Received,889,Bahawalpur,female,Punjab,55,0,854,839,142,42,40,157,161,0,0,No
Challan Printed,1006,Bahawalpur,female,Punjab,73,0,945,938,178,42,178,46,165,0,0,No
Application Fee Received,991,OPEN,male,Punjab,48,0,896,953,154,46,46,194,176,0,0,No
Challan Printed,899,OPEN,female,Punjab,50,50,768,854,0,0,0,0,0,0,0,No
Application Fee Received,936,OPEN,male,Sind,63,0,930,858,151,48,42,163,163,0,0,No
Application Fee Received,1015,OPEN,female,Punjab,63,0,891,957,167,171,187,47,43,0,0,No
Application Fee Received,920,OPEN,female,Punjab,64,0,946,861,159,149,44,161,47,0,0,No
Application Fee Received,847,Bahawalpur,female,Punjab,53,0,794,799,159,146,134,44,152,0,0,No
Application Fee Received,949,Bahawalpur,female,Punjab,65,0,719,894,169,172,163,169,42,0,0,No
Challan Printed,951,OPEN,male,Sind,54,0,972,902,147,173,155,46,167,0,0,No
Application Fee Received,681,OPEN,female,Sind,50,0,612,641,116,92,140,89,37,0,0,No
Application Fee Received,1010.909,OPEN,male,Punjab,60,60,971,960,175,172,184,178,48,0,0,No
Challan Printed,1014.273,Bahawalpur,female,Punjab,75,75,923,944,171,160,179,47,176,0,0,No
Application Fee Received,935.182,OPEN,female,Punjab,50,50,855,895,171,171,182,150,43,0,0,No
Admission Fee Challan Received,863,OPEN,male,Baluchistan,0,0,736,818,161,128,151,151,0,1,0,No
Challan Printed,830,OPEN,male,Baluchistan,51,0,834,784,125,34,120,145,102,0,0,No
Challan Printed,787,OPEN,male,Baluchistan,70,0,845,727,148,36,40,121,127,0,0,No
Application Received,612,Bahawalpur,female,Punjab,53,0,720,642,98,140,115,33,116,0,0,No
Challan Printed,891,OPEN,male,Punjab,51,0,756,845,129,164,150,149,0,0,0,No
Application Received,856,OPEN,male,Gilgit-Baltistan,55,0,896,806,175,146,131,44,147,0,0,No
Application Fee Received,935,OPEN,male,Gilgit-Baltistan,0,0,856,890,175,170,148,168,37,1,0,No
Admission Fee Challan Received,691,OPEN,male,Gilgit-Baltistan,50,0,776,646,120,96,112,108,0,1,0,No
Challan Printed,1007.909,OPEN,male,Azad Kashmir,74,74,867,938,0,0,0,0,0,0,0,No
Challan Printed,966.273,OPEN,male,Azad Kashmir,67,67,943,904,0,0,0,0,0,0,0,No
