Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,hsc_opt_6_total,Document Verified,English Marks,Offered
Application Fee Received,788,Bahawalpur,Punjab,64,776,648,105,96,40,117,42,109,200,0,105,No
Application Fee Received,722,Bahawalpur,Punjab,54,753,627,136,117,100,35,103,41,50,0,100,No
Application Fee Received,873,Bahawalpur,Punjab,54,878,727,151,131,127,105,0,0,0,0,151,No
Application Fee Received,750,Bahawalpur,Punjab,50,535,631,124,73,137,105,0,0,0,0,124,No
Application Fee Received,975,Bahawalpur,Punjab,53,763,836,138,42,158,44,158,149,200,0,149,No
Application Fee Received,1150,Bahawalpur,Punjab,49,943,980,186,175,84,47,175,47,50,1,175,Yes
Application Fee Received,792,Bahawalpur,Punjab,44,770,648,149,79,131,41,90,30,50,1,149,No
Application Fee Received,712,Bahawalpur,Punjab,48,629,585,53,117,132,73,27,40,50,0,132,No
Application Received,642,Bahawalpur,Punjab,0,611,545,76,75,96,102,0,0,0,0,102,No
Application Fee Received,904,Bahawalpur,Punjab,47,846,770,139,141,128,137,0,0,0,0,139,No
Application Fee Received,771,OPEN,Sind,40,832,670,106,117,110,150,43,18,50,0,106,No
Application Fee Received,771,Bahawalpur,Punjab,29,643,641,117,135,103,24,113,41,50,0,135,No
Application Fee Received,550,Bahawalpur,Punjab,40,678,505,99,89,85,39,87,24,50,0,0,No
Challan Printed,732,Bahawalpur,Punjab,0,845,619,118,89,106,110,0,0,0,0,118,No
Application Fee Received,820.324,Bahawalpur,Punjab,50,720,805,40,69,62,78,91,36,50,0,40,No
Application Fee Received,900,Bahawalpur,Punjab,44,725,775,135,140,157,149,42,37,50,0,135,No
Application Fee Received,653,Bahawalpur,Punjab,0,649,658,0,0,0,0,0,0,0,0,0,No
Application Fee Received,896,Bahawalpur,Punjab,54,799,757,141,128,144,147,38,40,50,0,144,No
Application Fee Received,748,Bahawalpur,Punjab,61,769,625,108,119,92,125,38,32,50,0,108,No
Admission Fee Challan Received,0,Bahawalpur,Punjab,46,735,633,113,107,33,86,40,144,200,1,113,No
Application Fee Received,645,Bahawalpur,Punjab,54,553,583,67,36,23,132,126,96,200,0,67,No
Application Fee Received,583,Bahawalpur,Punjab,65,708,541,136,62,116,39,87,32,50,0,62,No
Challan Printed,734,Bahawalpur,Punjab,51,641,596,143,103,37,96,32,94,200,0,143,No
Application Received,649,Bahawalpur,Punjab,40,753,542,104,112,89,23,89,29,50,0,112,No
Challan Printed,630,Bahawalpur,Punjab,0,552,556,64,70,83,34,31,175,200,0,64,No
Application Fee Received,876,Bahawalpur,Punjab,51,775,724,123,132,121,157,0,0,0,0,157,No
Admission Fee Challan Received,1021,Bahawalpur,Punjab,68,931,850,157,176,155,0,145,0,0,1,176,Yes
Application Fee Received,639,Bahawalpur,Punjab,0,643,555,87,109,91,40,95,34,50,0,109,No
Challan Printed,670,Bahawalpur,Punjab,0,554,567,118,37,42,94,77,74,200,0,118,No
Challan Printed,491,Bahawalpur,Punjab,50,526,506,0,0,0,0,0,0,0,0,0,No
Application Fee Received,1009,Bahawalpur,Punjab,40,849,841,39,160,177,108,36,173,200,1,173,Yes
Application Fee Received,777,Bahawalpur,Punjab,51,611,671,111,90,101,48,45,142,200,0,111,No
Application Fee Received,946,Bahawalpur,Punjab,47,819,798,139,158,138,45,140,43,50,0,158,No
Application Fee Received,744,Bahawalpur,Punjab,0,660,622,127,121,110,105,0,0,0,0,127,No
Challan Printed,678,Bahawalpur,Punjab,0,714,553,130,65,32,78,35,127,200,0,130,No
Application Fee Received,863,Bahawalpur,Punjab,65,770,745,123,124,46,156,29,138,200,0,123,No
Application Fee Received,845,Bahawalpur,Punjab,0,760,733,157,130,116,117,0,0,0,0,117,No
Application Fee Received,874,Bahawalpur,Punjab,0,764,730,122,129,111,40,154,38,50,0,129,No
Admission Fee Challan Received,1127,Bahawalpur,Punjab,82,970,975,162,185,183,185,46,45,50,1,162,Yes
Challan Printed,875,Bahawalpur,Punjab,53,796,738,142,138,128,35,120,41,50,0,142,No
Application Fee Received,941,Bahawalpur,Punjab,0,857,800,151,146,131,0,158,0,0,0,146,No
Application Fee Received,920,Bahawalpur,Punjab,67,850,786,139,0,0,0,0,0,0,1,139,No
Application Fee Received,872,Bahawalpur,Punjab,62,747,738,139,34,35,132,118,162,200,0,139,No
Application Fee Received,853,Bahawalpur,Punjab,60,581,740,118,74,156,144,125,0,0,0,118,No
Application Fee Received,687,Bahawalpur,Punjab,47,752,597,95,32,21,103,135,110,200,0,95,No
Application Fee Received,622,Bahawalpur,Punjab,43,802,627,0,0,0,0,0,0,0,0,0,No
Application Fee Received,754,Bahawalpur,Punjab,67,841,647,105,104,154,112,0,0,0,1,112,No
Application Fee Received,1094,Bahawalpur,Punjab,78,848,937,46,162,46,187,162,172,200,1,162,Yes
Application Fee Received,637,Bahawalpur,Punjab,57,618,552,90,33,89,71,32,0,0,0,90,No
Challan Printed,877,Bahawalpur,Punjab,47,827,741,141,135,131,115,0,0,0,0,141,No
Application Fee Received,659,Bahawalpur,Punjab,0,687,576,98,101,67,147,33,36,50,0,98,No
Application Fee Received,919,Bahawalpur,Punjab,61,822,758,135,166,134,0,140,0,0,1,166,No
Application Received,727,Bahawalpur,Punjab,0,663,670,72,40,102,90,0,0,0,0,72,No
Admission Fee Challan Received,1046,Bahawalpur,Punjab,66,886,885,134,166,163,0,173,0,0,1,166,Yes
Application Fee Received,686,Bahawalpur,Punjab,0,757,573,128,24,43,60,119,82,200,0,128,No
Challan Printed,916,Bahawalpur,Punjab,48,718,782,155,139,135,39,141,0,0,0,139,No
Application Fee Received,930,Bahawalpur,Punjab,42,817,787,148,43,38,134,140,141,200,1,148,No
Application Fee Received,650,Bahawalpur,Punjab,0,616,543,112,73,67,106,0,0,0,0,112,No
Application Fee Received,817,Bahawalpur,Punjab,55,743,700,122,107,138,122,0,0,0,0,122,No
Application Fee Received,588,Bahawalpur,Punjab,51,650,593,0,0,0,0,0,0,0,0,0,No
Application Fee Received,817,Bahawalpur,Punjab,50,855,687,131,100,135,110,41,42,50,0,135,No
Application Fee Received,698,Bahawalpur,Punjab,52,790,602,116,91,87,88,46,0,0,0,116,No
Application Fee Received,904.362,Bahawalpur,Punjab,47,735,857,57,0,0,0,0,0,0,0,57,No
Application Fee Received,777.083,Bahawalpur,Punjab,0,652,670,112,24,0,0,0,0,0,0,112,No
Application Fee Received,777,Bahawalpur,Punjab,59,800,642,94,106,94,38,140,44,50,0,140,No
Challan Printed,828,Bahawalpur,Punjab,44,907,701,115,45,137,45,123,112,200,0,112,No
Application Fee Received,739,Bahawalpur,Punjab,0,718,643,101,114,103,110,43,0,0,0,101,No
Application Fee Received,803,Bahawalpur,Punjab,0,826,690,118,99,96,151,37,0,0,0,118,No
Application Received,489,Bahawalpur,Punjab,55,529,519,0,0,0,0,0,0,0,0,0,No
Application Fee Received,912,Bahawalpur,Punjab,50,576,788,156,129,157,41,138,35,50,1,129,No
Application Fee Received,784,Bahawalpur,Punjab,53,716,650,139,89,123,116,41,0,0,0,139,No
Challan Printed,850,Bahawalpur,Punjab,46,843,717,136,138,118,43,124,32,50,0,138,No
Application Fee Received,1040,Bahawalpur,Punjab,60,972,879,166,154,152,173,0,0,0,1,166,Yes
Application Fee Received,1072,Bahawalpur,Punjab,47,925,898,179,148,153,176,0,0,0,0,179,No
Application Received,574,Bahawalpur,Punjab,0,541,554,0,0,0,0,0,0,0,0,0,No
Application Fee Received,987,Bahawalpur,Punjab,52,954,830,142,137,147,156,0,0,0,1,142,Yes
Application Received,818,Bahawalpur,Punjab,0,866,681,142,131,39,111,82,44,50,0,142,No
Application Fee Received,1093,Bahawalpur,Punjab,63,944,934,172,174,170,164,0,0,0,1,164,Yes
Challan Printed,734,Bahawalpur,Punjab,0,729,602,83,132,81,33,86,44,50,0,132,No
Application Fee Received,843,Bahawalpur,Punjab,53,838,704,123,144,100,43,122,43,50,0,144,No
Application Fee Received,740,Bahawalpur,Punjab,55,614,622,123,89,104,104,29,0,0,0,123,No
Application Fee Received,775,Bahawalpur,Punjab,56,705,647,106,133,105,30,104,0,0,0,133,No
Application Fee Received,727,Bahawalpur,Punjab,0,521,660,72,132,125,0,0,0,0,0,72,No
Application Fee Received,956,Bahawalpur,Punjab,44,908,796,165,129,162,130,40,44,50,1,165,Yes
Application Fee Received,832,Bahawalpur,Punjab,40,943,694,143,102,108,127,0,0,0,0,143,No
Application Fee Received,713,Bahawalpur,Punjab,61,705,693,0,0,0,0,0,0,0,0,0,No
Application Fee Received,826,Bahawalpur,Punjab,47,846,688,143,101,102,131,37,0,0,0,143,No
Challan Printed,1116,Bahawalpur,Punjab,74,939,971,150,182,178,0,0,0,0,0,150,No
Application Fee Received,756,Bahawalpur,Punjab,0,676,639,122,120,92,92,35,0,0,0,122,No
Application Fee Received,1143,Bahawalpur,Punjab,82,961,972,180,181,176,44,189,45,50,1,181,Yes
Challan Printed,732,Bahawalpur,Punjab,0,788,596,141,90,92,76,0,0,0,0,141,No
Application Fee Received,839,Bahawalpur,Punjab,45,760,736,108,33,153,133,166,44,50,0,108,No
Application Fee Received,723,Bahawalpur,Punjab,0,735,656,17,133,72,113,0,0,0,0,72,No
Challan Printed,984,Bahawalpur,Punjab,50,794,825,167,165,145,144,40,44,50,0,144,No
Application Fee Received,702,Bahawalpur,Punjab,47,749,599,108,97,95,99,0,0,0,0,108,No
Application Fee Received,690,Bahawalpur,Punjab,0,714,585,110,69,119,110,0,0,0,0,110,No
Application Fee Received,725,Bahawalpur,Punjab,49,737,611,119,84,122,100,39,29,50,0,119,No
Application Fee Received,949,Bahawalpur,Punjab,0,905,811,151,141,143,145,39,44,50,0,143,No
Application Fee Received,744,Bahawalpur,Punjab,50,578,603,114,84,146,30,79,36,50,0,146,No
Application Fee Received,551,Bahawalpur,Punjab,0,526,521,60,95,31,27,0,0,0,0,60,No
Application Fee Received,837,Bahawalpur,Punjab,0,731,731,111,154,108,141,0,0,0,0,111,No
Application Fee Received,732,Bahawalpur,Punjab,0,702,629,94,138,91,108,39,39,50,0,108,No
Application Fee Received,700,Bahawalpur,Punjab,44,792,584,121,91,84,66,0,0,0,0,121,No
Application Fee Received,858,Bahawalpur,Punjab,43,778,717,146,125,43,118,45,99,200,0,146,No
Application Fee Received,787,Bahawalpur,Punjab,0,590,680,117,32,33,141,130,0,0,0,117,No
Challan Printed,718,Bahawalpur,Punjab,0,703,616,107,109,98,120,0,0,0,0,107,No
Application Fee Received,843,Bahawalpur,Punjab,0,767,684,164,118,117,28,94,42,50,0,164,No
Application Fee Received,955.25,Bahawalpur,Punjab,55,553,811,149,0,0,0,0,0,0,1,149,No
Application Fee Received,775,Bahawalpur,Punjab,53,728,677,103,122,117,103,156,37,50,0,103,No
Admission Fee Challan Received,1050,Bahawalpur,Punjab,66,912,895,160,161,153,164,44,45,50,1,160,Yes
Application Fee Received,640,Bahawalpur,Punjab,0,792,542,77,96,81,88,0,0,0,0,88,No
Admission Fee Challan Received,1078,Bahawalpur,Punjab,63,751,918,170,43,41,165,158,170,200,1,170,Yes
Application Fee Received,785,Bahawalpur,Punjab,52,756,647,123,121,83,114,0,0,0,0,123,No
Application Fee Received,1061,Bahawalpur,Punjab,54,841,911,160,178,151,174,0,0,0,0,160,No
Application Fee Received,929,Bahawalpur,Punjab,55,835,773,132,161,125,0,132,0,0,1,161,No
Application Fee Received,683,Bahawalpur,Punjab,53,602,584,104,139,98,70,37,22,50,0,104,No
Application Fee Received,806,Bahawalpur,Punjab,0,862,670,75,141,103,0,130,0,0,0,141,No
Application Fee Received,802,Bahawalpur,Punjab,62,740,691,116,42,38,108,126,128,200,0,116,No
Application Fee Received,689,Bahawalpur,Punjab,57,719,704,0,0,0,0,0,0,0,0,0,No
Application Fee Received,763.583,Bahawalpur,Punjab,0,484,697,71,39,37,0,0,0,0,0,71,No
Application Fee Received,845,Bahawalpur,Punjab,0,711,712,139,138,108,40,137,40,50,0,138,No
Application Fee Received,818,Bahawalpur,Punjab,42,756,688,120,94,136,135,34,39,50,0,135,No
Application Fee Received,800,Bahawalpur,Punjab,48,819,703,102,42,45,146,132,90,200,0,102,No
Application Fee Received,868,Bahawalpur,Punjab,0,660,775,98,32,111,183,46,119,200,0,98,No
Application Fee Received,811,Bahawalpur,Punjab,61,928,689,137,42,94,80,156,45,50,0,137,No
Application Fee Received,770,Bahawalpur,Punjab,50,608,633,113,37,147,45,72,87,200,0,147,No
Application Fee Received,826,Bahawalpur,Punjab,47,846,688,143,101,102,131,37,0,0,0,0,No
Application Fee Received,936,Bahawalpur,Punjab,49,907,786,172,121,155,130,38,30,50,1,0,No
Application Fee Received,739,Bahawalpur,Punjab,0,718,643,101,114,103,110,43,0,0,0,0,No
Application Received,727,Bahawalpur,Punjab,0,663,670,72,40,102,90,0,0,0,0,0,No
Application Fee Received,912,Bahawalpur,Punjab,50,576,788,156,129,157,41,138,35,50,1,0,No
Application Fee Received,863,Bahawalpur,Punjab,65,770,745,123,124,46,156,29,138,200,0,0,No
Application Fee Received,689,Bahawalpur,Punjab,0,680,579,105,88,94,110,0,0,0,0,0,No
Application Fee Received,699,Bahawalpur,Punjab,35,667,576,86,106,72,128,0,0,0,0,128,No
Challan Printed,877,Bahawalpur,Punjab,48,748,753,125,161,142,48,129,0,0,0,129,No
Application Fee Received,754,Bahawalpur,Punjab,41,542,619,140,38,31,119,76,97,200,0,140,No
Application Fee Received,753,Bahawalpur,Punjab,0,630,634,96,124,118,37,91,41,50,0,124,No
Challan Printed,786,Bahawalpur,Punjab,0,687,689,97,42,22,125,139,0,0,0,97,No
Application Fee Received,946,Bahawalpur,Punjab,57,885,814,147,44,133,148,164,41,50,0,147,No
Application Fee Received,1077,Bahawalpur,Punjab,38,907,921,180,161,157,47,179,40,50,0,161,No
Application Fee Received,594,Bahawalpur,Punjab,44,624,604,0,0,0,0,0,0,0,0,0,No
Application Fee Received,1140,Bahawalpur,Punjab,69,941,973,191,184,174,172,0,0,0,1,172,Yes
Application Fee Received,676,Bahawalpur,Punjab,42,778,681,0,0,0,0,0,0,0,0,0,No
Challan Printed,684,Bahawalpur,Punjab,0,738,585,104,85,106,98,38,33,50,0,104,No
Challan Printed,595,Bahawalpur,Punjab,0,557,526,99,100,98,95,89,33,50,0,99,No
Challan Printed,892,Bahawalpur,Punjab,59,948,897,0,0,0,0,0,0,0,0,0,No
Application Received,519,Bahawalpur,Punjab,0,661,544,0,0,0,0,0,0,0,0,0,No
Challan Printed,726.083,Bahawalpur,Punjab,0,601,659,72,28,40,0,0,0,0,0,72,No
Application Fee Received,757,Bahawalpur,Punjab,0,716,643,119,101,80,46,107,0,0,0,119,No
Application Fee Received,782,Bahawalpur,Punjab,44,712,623,68,113,164,75,48,0,0,0,164,No
Challan Printed,613,Bahawalpur,Punjab,0,657,533,90,30,63,51,81,0,0,0,90,No
Application Fee Received,599,Bahawalpur,Punjab,63,710,604,0,0,0,0,0,0,0,0,0,No
Application Fee Received,722,Bahawalpur,Punjab,0,705,628,103,93,146,99,43,35,50,0,99,No
Challan Printed,644,Bahawalpur,Punjab,0,632,516,133,85,0,0,0,0,0,0,133,No
Application Fee Received,934,Bahawalpur,Punjab,47,865,783,150,132,133,156,41,39,50,0,156,No
Application Fee Received,1003,Bahawalpur,Punjab,56,914,852,148,137,180,161,0,0,0,0,161,No
Application Fee Received,758,Bahawalpur,Punjab,41,705,652,124,91,133,111,42,0,0,0,111,No
Application Fee Received,739,Bahawalpur,Punjab,41,855,633,90,111,121,0,82,0,0,0,111,No
Application Fee Received,739,Bahawalpur,Punjab,50,777,629,103,99,119,115,0,0,0,0,115,No
Application Fee Received,756,Bahawalpur,Punjab,37,811,627,96,134,97,36,101,36,50,0,134,No
Application Fee Received,928,Bahawalpur,Punjab,0,737,788,145,0,0,0,0,0,0,0,145,No
Application Fee Received,689,Bahawalpur,Punjab,38,780,567,90,88,90,35,30,127,200,0,127,No
Admission Fee Challan Received,1006,Bahawalpur,Punjab,57,904,853,157,158,153,0,154,0,0,1,158,Yes
Application Fee Received,574,Bahawalpur,Punjab,0,635,485,66,69,75,28,41,94,150,0,94,No
Application Fee Received,591,Bahawalpur,Punjab,0,622,495,68,55,72,101,40,35,50,0,101,No
Challan Printed,718,Bahawalpur,Punjab,47,779,612,111,103,89,44,87,0,0,0,111,No
Application Received,867,Bahawalpur,Punjab,54,700,737,107,137,125,135,43,0,0,0,135,No
Application Fee Received,1017,Bahawalpur,Punjab,44,872,867,168,158,169,155,40,41,50,0,155,No
Application Received,560,Bahawalpur,Punjab,0,773,570,0,0,0,0,0,0,0,0,0,No
Application Fee Received,836,Bahawalpur,Punjab,40,779,726,115,142,126,112,0,0,0,0,115,No
Application Fee Received,754,Bahawalpur,Punjab,0,609,683,157,132,42,28,76,0,0,0,76,No
Application Fee Received,750,Bahawalpur,Punjab,56,833,637,124,118,128,39,91,28,75,1,118,No
Application Received,543,Bahawalpur,Punjab,0,532,484,64,71,80,35,0,0,0,0,64,No
Admission Fee Challan Received,966,Bahawalpur,Punjab,44,813,829,163,38,142,139,44,166,200,1,142,Yes
Challan Printed,944,Bahawalpur,Punjab,55,917,810,137,141,139,153,46,0,0,0,139,No
Application Fee Received,1116,Bahawalpur,Punjab,80,941,953,195,173,173,0,193,0,0,1,173,Yes
Challan Printed,696,Bahawalpur,Punjab,0,644,701,0,0,0,0,0,0,0,0,0,No
Application Fee Received,642,Bahawalpur,Punjab,58,546,564,83,39,43,80,0,0,0,0,83,No
Challan Printed,646,Bahawalpur,Punjab,58,520,583,121,68,127,127,21,37,50,0,68,No
Application Fee Received,801,Bahawalpur,Punjab,55,793,698,150,108,123,42,101,44,50,0,108,No
Application Fee Received,743,Bahawalpur,Punjab,61,626,644,104,96,92,0,0,0,0,0,104,No
Challan Printed,801,Bahawalpur,Punjab,54,762,662,144,69,145,38,77,46,50,0,144,No
Application Fee Received,960,Bahawalpur,Punjab,55,800,815,150,125,145,157,41,0,0,1,150,Yes
Application Fee Received,751,Bahawalpur,Punjab,37,693,644,111,101,99,112,45,45,50,0,112,No
Application Fee Received,739,Bahawalpur,Punjab,0,585,627,110,98,93,117,0,0,0,0,117,No
Application Fee Received,633,Bahawalpur,Punjab,0,714,550,85,90,97,88,0,0,0,0,88,No
Application Fee Received,948,Bahawalpur,Punjab,47,738,812,141,128,154,156,0,0,0,1,141,No
Application Fee Received,884,Bahawalpur,Punjab,42,832,755,134,42,48,129,120,122,200,0,134,No
Application Received,694,Bahawalpur,Punjab,0,655,660,59,61,71,67,55,0,0,0,59,No
Challan Printed,765,Bahawalpur,Punjab,0,903,770,152,0,128,0,108,0,0,0,0,No
Application Fee Received,756,Bahawalpur,Punjab,0,769,648,113,43,43,122,84,119,200,0,113,No
Application Fee Received,711,Bahawalpur,Punjab,47,587,592,124,31,101,33,30,77,100,0,124,No
Application Fee Received,875,Bahawalpur,Punjab,47,800,726,154,43,36,131,135,80,200,0,154,No
Application Fee Received,830,Bahawalpur,Punjab,0,777,697,158,128,43,86,46,105,200,0,158,No
Application Fee Received,739,Bahawalpur,Punjab,65,636,618,126,117,108,0,88,0,0,0,126,No
Application Fee Received,887,Bahawalpur,Punjab,44,698,754,138,140,155,0,115,0,0,0,138,No
Challan Printed,832,OPEN,Baluchistan,52,782,694,143,148,44,118,74,0,0,0,143,No
Challan Printed,954,Bahawalpur,Punjab,37,831,789,165,170,98,0,148,0,0,0,170,No
Application Fee Received,815,OPEN,Punjab,45,654,714,106,38,40,148,131,128,200,0,106,No
Application Fee Received,890,Bahawalpur,Punjab,49,827,772,123,158,119,120,47,46,50,0,123,No
Application Fee Received,720,Bahawalpur,Punjab,47,719,606,119,123,64,91,0,0,0,0,119,No
Application Fee Received,875,Bahawalpur,Punjab,54,576,773,107,47,43,162,124,176,200,0,107,No
Application Fee Received,703,Bahawalpur,Punjab,41,902,588,108,120,126,34,92,22,50,0,120,No
Application Received,601,Bahawalpur,Punjab,0,769,527,83,79,88,33,116,43,50,0,79,No
Application Fee Received,673,Bahawalpur,Punjab,53,583,552,126,23,88,95,67,0,0,0,126,No
Application Fee Received,815,Bahawalpur,Punjab,0,797,670,150,129,88,110,0,0,0,0,150,No
Challan Printed,700,Bahawalpur,Punjab,47,749,577,128,70,87,43,85,33,50,0,128,No
Application Fee Received,791,Bahawalpur,Punjab,45,882,673,123,115,89,119,43,41,50,0,123,No
Application Fee Received,889,Bahawalpur,Punjab,63,835,767,145,127,134,46,152,41,50,0,127,No
Application Fee Received,800,Bahawalpur,Punjab,40,800,671,134,125,94,110,45,31,50,0,134,No
Application Fee Received,742,Bahawalpur,Punjab,51,774,658,89,106,107,0,142,0,0,0,89,No
Application Fee Received,903,Bahawalpur,Punjab,49,889,799,147,109,147,44,160,48,50,0,109,No
Application Fee Received,756,Bahawalpur,Punjab,0,631,637,98,124,94,45,99,44,50,0,124,No
Application Fee Received,677,Bahawalpur,Punjab,0,715,591,91,0,0,0,0,0,0,0,91,No
Admission Fee Challan Received,966,Bahawalpur,Punjab,58,878,810,142,161,122,46,153,42,50,1,161,Yes
Admission Fee Challan Received,1042,Bahawalpur,Punjab,50,674,881,143,166,163,0,172,0,0,1,166,Yes
Application Fee Received,806,Bahawalpur,Punjab,24,657,677,109,139,93,46,113,45,50,1,139,No
Application Fee Received,838,Bahawalpur,Punjab,48,759,692,86,151,106,0,134,0,0,0,151,No
Application Fee Received,730,Bahawalpur,Punjab,52,557,600,135,43,29,100,74,107,200,0,135,No
Application Fee Received,764,Bahawalpur,Punjab,43,833,657,88,130,98,112,41,0,0,0,112,No
Application Fee Received,805,Bahawalpur,Punjab,50,684,696,114,91,121,0,167,0,0,0,114,No
Application Fee Received,554,Bahawalpur,Punjab,39,741,559,0,0,0,0,0,0,0,0,0,No
Application Fee Received,655,Bahawalpur,Punjab,0,605,549,100,111,66,0,85,0,0,0,111,No
Application Fee Received,678,Bahawalpur,Punjab,45,689,550,133,0,0,0,0,0,0,0,133,No
Challan Printed,929,Bahawalpur,Punjab,53,730,800,134,153,46,0,133,0,0,0,134,No
Application Fee Received,758,Bahawalpur,Punjab,48,720,643,168,120,98,43,71,0,0,0,120,No
Application Fee Received,992,Bahawalpur,Punjab,47,839,837,163,120,154,160,0,0,0,0,160,No
Application Fee Received,868,Bahawalpur,Punjab,59,786,746,127,0,0,0,0,0,0,0,127,No
Application Fee Received,638,Bahawalpur,Punjab,44,522,559,80,99,89,34,104,43,50,0,99,No
Application Fee Received,931,Bahawalpur,Punjab,53,858,795,159,153,113,141,46,46,50,0,141,No
Application Fee Received,712,Bahawalpur,Punjab,0,741,612,154,105,100,24,76,44,50,0,105,No
Application Fee Received,637,Bahawalpur,Punjab,0,709,553,152,89,91,27,86,40,60,0,89,No
Application Fee Received,1095,Bahawalpur,Punjab,74,945,943,169,42,178,50,185,157,200,1,157,Yes
Application Received,552,Bahawalpur,Punjab,39,777,557,0,0,0,0,0,0,0,0,0,No
Application Fee Received,708,Bahawalpur,Punjab,50,685,599,114,95,103,0,82,0,0,0,114,No
Application Received,553,Bahawalpur,Punjab,0,574,473,66,26,67,34,84,85,200,0,85,No
Challan Printed,760,Bahawalpur,Punjab,0,746,785,0,0,0,0,0,0,0,0,0,No
Challan Printed,823,OPEN,Punjab,45,760,722,106,148,123,40,115,0,0,0,106,No
Application Fee Received,1130,OPEN,Punjab,61,907,961,174,183,181,176,0,0,0,0,174,No
Challan Printed,796,OPEN,Punjab,0,869,684,95,108,134,137,44,40,50,0,137,No
Application Fee Received,720,OPEN,Punjab,20,815,725,0,0,0,0,0,0,0,0,0,No
Challan Printed,741,OPEN,Punjab,0,735,622,124,92,43,109,40,94,200,0,124,No
Application Fee Received,876,OPEN,Punjab,64,849,717,85,113,103,164,41,49,50,0,164,No
Application Fee Received,1115,OPEN,Punjab,0,920,953,167,0,0,0,0,0,0,1,167,Yes
