Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,hsc_opt_6_total,Document Verified,English Marks,Offered
Application Fee Received,920,OPEN,Punjab,38,767,804,150,149,149,121,39,42,50,1,121,No
Challan Printed,1138,OPEN,Punjab,79,887,970,174,173,184,47,181,0,0,0,173,No
Challan Printed,787,Bahawalpur,Punjab,0,798,655,118,127,113,117,38,36,50,0,117,No
Application Fee Received,839,OPEN,Punjab,47,792,741,103,151,122,132,43,38,50,0,103,No
Application Fee Received,972,OPEN,Punjab,0,857,830,147,158,45,126,41,160,200,0,147,No
Application Fee Received,729,OPEN,Punjab,0,679,734,0,0,0,0,0,0,0,0,0,No
Application Fee Received,1105,OPEN,Punjab,44,819,946,164,182,178,173,45,43,50,0,164,No
Application Fee Received,968,OPEN,Punjab,65,923,953,0,0,0,0,0,0,0,0,0,No
Application Fee Received,780,OPEN,Punjab,0,605,692,93,105,147,126,0,0,0,0,93,No
Application Fee Received,722,OPEN,Punjab,52,719,637,113,90,104,44,92,43,50,0,90,No
Application Fee Received,1060,OPEN,Punjab,54,837,891,156,179,152,0,154,0,0,1,154,Yes
Application Fee Received,784,OPEN,Punjab,0,601,670,99,162,94,106,0,0,0,0,99,No
Application Fee Received,600,OPEN,Punjab,0,525,600,0,0,0,0,0,0,0,0,0,No
Application Fee Received,780,OPEN,Punjab,22,808,785,0,0,0,0,0,0,0,0,0,No
Application Received,755,OPEN,Punjab,0,685,618,142,40,91,95,78,43,50,0,142,No
Application Fee Received,1011,OPEN,Punjab,38,841,858,148,138,174,47,163,43,50,0,138,No
Application Fee Received,1101,OPEN,Punjab,52,929,945,161,44,44,175,172,184,200,0,161,No
Application Fee Received,826,OPEN,Punjab,0,771,707,124,0,0,0,0,0,0,0,124,No
Application Fee Received,802,OPEN,Punjab,43,581,689,118,37,39,127,120,128,200,0,118,No
Admission Fee Challan Received,918,OPEN,Punjab,0,563,812,111,157,175,0,171,0,0,1,111,No
Application Fee Received,912,OPEN,Punjab,36,699,766,151,0,0,0,0,0,0,0,151,No
Application Fee Received,698,OPEN,Punjab,0,616,573,140,40,42,78,75,62,200,0,140,No
Application Fee Received,966,OPEN,Punjab,40,941,809,142,162,138,0,139,0,0,0,162,No
Application Fee Received,806,OPEN,Punjab,40,823,702,109,42,42,122,108,142,200,0,109,No
Application Fee Received,846,Bahawalpur,Punjab,0,789,727,132,46,142,39,108,124,200,0,124,No
Application Fee Received,1090,OPEN,Punjab,0,937,929,164,166,171,44,172,46,50,0,166,No
Application Fee Received,987,OPEN,Punjab,0,898,836,171,117,153,156,45,48,50,0,156,No
Application Fee Received,755,OPEN,Punjab,0,846,770,0,0,0,0,0,0,0,0,0,No
Application Received,998,OPEN,Punjab,51,904,857,161,159,153,45,46,146,200,0,146,No
Application Fee Received,1086,OPEN,Punjab,59,895,933,158,171,172,181,46,46,50,1,158,No
Application Fee Received,933,OPEN,Punjab,40,706,780,131,138,138,42,158,38,50,0,158,No
Application Fee Received,1112,OPEN,Punjab,67,945,952,165,176,181,186,47,45,50,1,165,Yes
Application Fee Received,880,OPEN,Punjab,0,715,756,129,119,127,129,43,47,50,0,129,No
Application Fee Received,1155,OPEN,Punjab,80,926,969,186,173,185,46,0,171,200,1,171,Yes
Application Fee Received,1052,OPEN,Punjab,49,864,885,172,115,179,160,46,44,50,0,172,No
Application Fee Received,904,OPEN,Punjab,0,800,735,174,82,43,134,36,123,200,0,174,No
Challan Printed,675,OPEN,Punjab,0,767,616,64,47,94,43,134,142,200,0,64,No
Application Fee Received,633,OPEN,Punjab,0,711,549,89,95,39,85,39,81,200,0,89,No
Challan Printed,1120,OPEN,Punjab,81,967,949,176,167,176,46,176,47,50,0,176,No
Challan Printed,794,OPEN,Punjab,84,749,819,0,0,0,0,0,0,0,0,0,No
Application Fee Received,1111,OPEN,Punjab,61,941,955,161,179,174,180,47,45,50,1,161,Yes
Challan Printed,876,OPEN,Punjab,0,585,743,138,113,159,0,128,0,0,0,138,No
Application Fee Received,1125,OPEN,Punjab,82,941,957,173,45,44,181,180,176,200,0,173,No
Application Fee Received,957,OPEN,Punjab,0,839,828,134,164,45,43,139,142,200,0,134,No
Application Fee Received,1000,OPEN,Punjab,0,610,874,141,0,0,0,0,0,0,0,141,No
Admission Fee Challan Received,1067,OPEN,Punjab,44,920,920,152,45,44,174,175,171,200,1,152,Yes
Admission Fee Challan Received,1066,OPEN,Punjab,44,864,915,156,44,45,172,179,167,200,1,156,Yes
Challan Printed,600,OPEN,Punjab,0,521,518,98,87,98,73,43,32,50,0,87,No
Application Fee Received,755,OPEN,Punjab,22,668,670,138,90,110,41,125,39,50,0,90,No
Application Fee Received,865,OPEN,Punjab,48,517,870,183,170,174,0,0,0,0,0,0,No
Application Fee Received,777,OPEN,Punjab,44,796,782,0,0,0,0,0,0,0,0,0,No
Application Fee Received,1026,OPEN,Punjab,44,901,871,154,160,157,0,157,0,0,0,160,No
Application Fee Received,874,OPEN,Punjab,53,710,735,143,135,129,144,0,0,0,0,144,No
Application Fee Received,669,OPEN,Punjab,0,525,564,110,85,88,25,99,35,50,0,110,No
Challan Printed,674,OPEN,Punjab,0,706,610,69,120,46,89,37,112,200,0,69,No
Admission Fee Challan Received,1104,OPEN,Punjab,58,878,943,166,0,177,0,162,0,0,1,166,Yes
Application Fee Received,956,OPEN,Punjab,42,905,815,149,38,129,47,150,146,200,0,146,No
Application Fee Received,897,OPEN,Punjab,55,791,757,145,46,45,126,140,107,200,0,145,No
Application Received,567,OPEN,Punjab,47,643,492,77,90,77,41,78,23,50,0,90,No
Application Fee Received,751,OPEN,Punjab,0,734,756,0,0,0,0,0,0,0,0,0,No
Application Fee Received,737,OPEN,Punjab,0,608,615,95,127,91,37,94,34,50,0,127,No
Challan Printed,657,OPEN,Punjab,0,794,565,58,88,113,102,0,0,0,0,102,No
Application Fee Received,857,OPEN,Punjab,0,760,736,131,110,142,42,125,46,50,0,131,No
Application Fee Received,965,OPEN,Punjab,59,737,822,148,166,136,153,0,0,0,0,148,No
Application Fee Received,954,OPEN,Punjab,0,778,959,0,0,0,0,0,0,0,0,0,No
Application Fee Received,834,OPEN,Punjab,56,697,728,103,64,121,111,44,0,0,0,111,No
Application Fee Received,880,OPEN,Punjab,47,859,750,135,137,124,42,146,40,50,0,135,No
Application Fee Received,715,OPEN,Punjab,0,704,597,123,0,0,0,0,0,0,0,123,No
Application Fee Received,844,OPEN,Punjab,46,588,735,127,124,142,42,43,114,200,0,114,No
Application Fee Received,947,OPEN,Punjab,0,882,800,112,152,158,0,156,0,0,0,152,No
Challan Printed,944,Bahawalpur,Punjab,55,917,810,137,141,139,153,46,0,0,0,0,No
Application Fee Received,972,OPEN,Punjab,0,857,830,147,158,45,126,41,160,200,0,0,No
Challan Printed,929,Bahawalpur,Punjab,53,730,800,134,153,46,0,133,0,0,0,0,No
Application Fee Received,737,OPEN,Punjab,0,608,615,95,127,91,37,94,34,50,0,0,No
Application Fee Received,903,Bahawalpur,Punjab,49,889,799,147,109,147,44,160,48,50,0,0,No
Application Fee Received,815,OPEN,Punjab,0,462,694,152,126,134,121,121,28,50,0,126,No
Application Fee Received,888,OPEN,Punjab,0,735,749,144,0,0,0,0,0,0,0,144,No
Application Fee Received,898,OPEN,Punjab,52,677,776,127,49,113,79,41,61,75,0,127,No
Application Fee Received,690,OPEN,Punjab,35,611,675,0,0,0,0,0,0,0,0,0,No
Challan Printed,1039,OPEN,Punjab,0,812,905,144,0,0,0,0,0,0,0,144,No
Application Fee Received,948,OPEN,Punjab,0,729,953,0,0,0,0,0,0,0,0,0,No
Challan Printed,642,OPEN,Punjab,0,533,652,0,0,0,0,0,0,0,0,0,No
Challan Printed,1020,OPEN,Punjab,45,903,870,155,47,45,152,144,164,200,0,155,No
Application Fee Received,561,OPEN,Punjab,42,639,566,101,100,86,0,0,0,0,0,0,No
Challan Printed,614,OPEN,Punjab,0,536,624,0,0,0,0,0,0,0,0,0,No
Application Fee Received,881,OPEN,Punjab,0,783,766,125,162,121,0,140,0,0,0,125,No
Application Fee Received,819,OPEN,Punjab,50,884,705,124,131,147,41,83,0,0,0,124,No
Application Fee Received,619,Bahawalpur,Punjab,47,765,529,95,75,94,37,106,32,50,0,95,No
Application Fee Received,887,OPEN,Punjab,0,770,764,117,149,141,128,45,0,0,0,128,No
Application Fee Received,742,OPEN,Punjab,0,713,747,0,0,0,0,0,0,0,0,0,No
Application Fee Received,979,Bahawalpur,Punjab,44,782,852,132,167,166,152,0,0,0,1,132,No
Application Fee Received,898,Bahawalpur,Punjab,62,788,774,136,129,142,38,149,44,50,0,129,No
Challan Printed,936,OPEN,Punjab,0,664,781,155,150,155,105,42,41,50,0,155,No
Application Fee Received,1060,Bahawalpur,Punjab,54,947,910,155,152,195,182,44,45,50,1,155,Yes
Application Fee Received,794,Bahawalpur,Punjab,0,738,685,129,129,141,114,44,30,50,0,114,No
Application Fee Received,899,OPEN,Punjab,40,750,794,110,0,0,0,0,0,0,0,110,No
Admission Fee Challan Received,1104,OPEN,Punjab,82,937,939,182,170,180,39,174,41,50,1,170,Yes
Application Fee Received,830,OPEN,Punjab,40,644,701,134,133,131,113,0,0,0,0,134,No
Application Fee Received,761,OPEN,Punjab,0,689,644,122,0,0,0,0,0,0,0,122,No
Application Fee Received,1051,OPEN,Punjab,51,937,875,181,129,157,146,0,0,0,0,181,No
Application Fee Received,1100,OPEN,Punjab,73,896,920,165,46,40,176,174,156,200,0,165,No
Application Fee Received,783,OPEN,Punjab,43,688,699,89,153,91,147,44,35,50,0,89,No
Application Fee Received,719,OPEN,Punjab,0,544,577,142,88,76,90,25,43,50,0,142,No
Application Fee Received,727,OPEN,Punjab,0,775,732,0,0,0,0,0,0,0,0,0,No
Application Fee Received,959,OPEN,Punjab,49,961,808,146,156,139,37,145,0,0,0,156,No
Application Fee Received,838,OPEN,Punjab,0,735,690,153,97,93,39,127,0,0,0,153,No
Application Fee Received,928,Bahawalpur,Punjab,0,847,792,153,141,128,0,162,0,0,0,141,No
Application Fee Received,776,Bahawalpur,Punjab,50,726,642,90,144,118,79,44,42,50,0,144,No
Challan Printed,857,OPEN,Punjab,44,805,711,123,131,103,45,125,42,50,0,131,No
Application Fee Received,967,OPEN,Punjab,69,952,972,188,0,164,0,180,0,0,0,0,No
Challan Printed,835,OPEN,Punjab,49,836,712,111,144,118,108,0,0,0,0,108,No
Application Fee Received,938,OPEN,Punjab,40,829,823,177,124,163,47,46,130,200,0,130,No
Application Fee Received,631,OPEN,Punjab,46,688,586,62,89,111,98,44,40,50,0,0,No
Application Fee Received,771,OPEN,Punjab,43,732,666,110,104,109,105,44,46,50,0,110,No
Application Fee Received,746,OPEN,Punjab,0,621,633,118,94,80,119,45,41,50,0,118,No
Admission Fee Challan Received,1091,OPEN,Punjab,52,924,939,157,171,186,179,47,48,50,1,157,Yes
Application Fee Received,859,OPEN,Punjab,52,861,745,119,142,127,111,46,46,50,0,119,No
Application Fee Received,929,OPEN,Punjab,60,887,785,149,163,46,102,50,132,200,0,149,No
Application Fee Received,772,OPEN,Punjab,0,834,658,119,135,45,99,38,86,200,0,119,No
Challan Printed,832,OPEN,Punjab,53,819,707,130,47,111,102,128,0,0,0,130,No
Application Fee Received,676,OPEN,Punjab,0,631,553,128,74,38,70,35,75,200,0,128,No
Application Fee Received,744.338,OPEN,Punjab,0,685,774,0,0,0,0,0,0,0,0,0,No
Application Fee Received,582,OPEN,Punjab,32,665,592,0,0,0,0,0,0,0,0,0,No
Application Fee Received,750,OPEN,Punjab,0,720,666,135,94,87,45,40,0,0,0,94,No
Application Fee Received,921,OPEN,Punjab,59,809,785,141,160,44,130,42,130,200,0,141,No
Application Fee Received,772,OPEN,Punjab,0,917,637,140,99,113,74,37,48,50,0,140,No
Application Fee Received,754,OPEN,Punjab,51,886,759,0,0,0,0,0,0,0,0,0,No
Application Fee Received,690,OPEN,Punjab,51,557,606,89,112,31,0,75,0,0,0,89,No
Application Fee Received,796,OPEN,Punjab,44,706,674,127,132,103,90,47,45,50,0,127,No
Challan Printed,1104,OPEN,Punjab,54,847,936,169,173,168,45,178,46,50,0,173,No
Application Fee Received,875,OPEN,Punjab,56,847,880,0,0,0,0,0,0,0,0,0,No
Challan Printed,817,OPEN,Punjab,0,685,701,121,130,131,40,107,37,50,0,121,No
Application Fee Received,904,OPEN,Punjab,0,699,774,145,45,43,136,116,148,200,0,145,No
Application Fee Received,736,OPEN,Punjab,0,567,622,119,38,40,108,60,152,200,0,119,No
Application Fee Received,888,OPEN,Punjab,51,919,727,98,37,149,44,107,151,200,1,151,No
Application Fee Received,567,OPEN,Punjab,39,619,582,0,0,0,0,0,0,0,0,0,No
Application Fee Received,862,OPEN,Punjab,0,704,752,115,141,117,160,40,0,0,0,115,No
Application Fee Received,997,OPEN,Punjab,56,830,837,148,144,147,34,165,0,0,0,165,No
Application Fee Received,1033,OPEN,Punjab,0,792,870,168,0,0,0,0,0,0,0,168,No
Application Fee Received,705,OPEN,Punjab,56,745,710,0,0,0,0,0,0,0,0,0,No
Application Fee Received,824,OPEN,Punjab,40,752,829,0,0,0,0,0,0,0,0,0,No
Application Fee Received,1087,OPEN,Punjab,79,914,939,153,47,46,185,171,179,200,0,153,No
Admission Fee Challan Received,1086,OPEN,Punjab,54,850,921,167,170,168,48,172,42,50,1,170,Yes
Application Fee Received,890,OPEN,Punjab,40,802,772,126,123,144,142,44,41,50,0,123,No
Challan Printed,821,OPEN,Punjab,0,929,693,93,113,114,36,137,48,50,0,113,No
Application Fee Received,802.914,OPEN,Punjab,44,514,787,38,53,71,72,0,40,100,0,40,No
Application Fee Received,1027,OPEN,Punjab,48,937,867,165,171,158,145,48,0,0,1,165,Yes
Application Fee Received,651,OPEN,Punjab,38,695,594,77,105,103,105,34,41,50,0,77,No
Application Fee Received,820,OPEN,Punjab,0,569,664,119,97,92,161,34,32,200,0,161,No
Application Fee Received,652,OPEN,Punjab,54,756,566,91,99,68,102,0,0,0,0,91,No
Application Fee Received,862,OPEN,Punjab,0,742,720,147,108,107,109,48,46,50,0,147,No
Challan Printed,852,OPEN,Punjab,43,807,724,122,45,113,108,38,165,200,0,113,No
Challan Printed,909,OPEN,Punjab,43,714,757,136,45,157,103,46,134,200,0,157,No
Challan Printed,787,OPEN,Punjab,52,735,682,144,110,144,70,45,44,50,0,110,No
Application Fee Received,806,OPEN,Punjab,0,777,705,132,40,140,44,106,137,200,0,106,No
Application Fee Received,1051,OPEN,Punjab,60,852,894,171,147,155,50,44,162,200,0,162,No
Application Fee Received,874,OPEN,Punjab,57,873,766,118,0,0,0,0,0,0,0,118,No
Application Fee Received,888,Bahawalpur,Punjab,60,814,731,120,162,105,37,107,38,50,0,162,No
Challan Printed,694,OPEN,Punjab,0,695,618,81,35,27,106,112,0,0,0,81,No
Application Fee Received,817,OPEN,Punjab,0,746,746,81,46,144,166,0,0,0,0,81,No
Application Fee Received,837,OPEN,Punjab,40,656,722,120,116,151,140,33,42,50,0,120,No
Application Fee Received,801,Bahawalpur,Punjab,52,733,672,139,134,103,103,0,0,0,1,139,No
Application Fee Received,903,OPEN,Punjab,41,891,774,134,139,143,127,0,0,0,0,134,No
Challan Printed,1018,OPEN,Punjab,66,693,888,194,154,187,38,45,135,200,0,135,No
Challan Printed,966,OPEN,Punjab,0,885,792,179,137,123,126,0,0,0,0,179,No
Application Fee Received,776,OPEN,Punjab,48,717,671,110,110,126,37,125,40,50,0,110,No
Challan Printed,851,OPEN,Punjab,0,613,717,139,42,47,108,110,121,200,0,139,No
Application Fee Received,808,OPEN,Punjab,56,747,697,121,116,124,44,116,46,50,0,116,No
Challan Printed,910,OPEN,Punjab,0,916,795,119,120,151,49,156,43,50,0,120,No
Challan Printed,892,OPEN,Punjab,44,745,776,132,121,165,44,133,47,50,0,121,No
Application Fee Received,911,OPEN,Punjab,52,607,782,134,148,44,150,35,141,200,0,134,No
Application Fee Received,936,OPEN,Punjab,41,798,781,151,160,128,0,111,0,0,0,160,No
Challan Printed,548,OPEN,Punjab,0,588,491,62,92,133,65,19,27,50,0,62,No
Application Fee Received,650,OPEN,Punjab,65,633,545,110,85,73,68,0,0,0,0,110,No
Application Fee Received,881,OPEN,Punjab,43,853,734,127,115,152,0,45,0,0,0,152,No
Application Fee Received,1011,OPEN,Punjab,0,994,846,115,48,161,47,140,175,200,0,175,No
Application Fee Received,589,OPEN,Punjab,45,614,524,75,73,99,70,46,0,0,0,70,No
Application Fee Received,824,OPEN,Punjab,50,829,699,103,121,120,130,48,39,50,0,130,No
Challan Printed,859,OPEN,Punjab,63,932,864,0,0,0,0,0,0,0,0,0,No
Application Fee Received,672,OPEN,Punjab,41,613,579,113,98,44,89,38,83,200,0,98,No
Application Fee Received,593,OPEN,Punjab,48,560,517,81,105,79,99,26,35,50,0,81,No
Challan Printed,697,OPEN,Punjab,72,637,637,50,50,75,60,78,50,100,0,75,No
Application Fee Received,906,OPEN,Punjab,42,714,772,119,155,132,139,44,37,50,0,119,No
Application Fee Received,885,OPEN,Punjab,55,655,750,140,130,115,45,46,140,200,0,140,No
Application Fee Received,736,OPEN,Punjab,0,659,611,97,130,79,45,82,38,50,0,130,No
Application Fee Received,978,OPEN,Punjab,53,936,844,165,144,138,0,136,0,0,0,144,No
Application Fee Received,817,OPEN,Punjab,47,756,680,142,95,89,111,0,0,0,0,142,No
Application Fee Received,870,OPEN,Punjab,50,923,753,168,132,148,43,85,42,50,0,132,No
Application Fee Received,916,OPEN,Punjab,0,924,787,134,48,41,144,153,128,200,0,134,No
Challan Printed,741,OPEN,Punjab,21,664,644,102,44,34,135,117,64,200,0,102,No
Application Fee Received,559,OPEN,Punjab,0,596,497,67,89,111,59,34,36,50,0,67,No
Application Fee Received,1006,OPEN,Punjab,55,984,841,170,158,46,132,40,138,200,0,170,No
Challan Printed,926,OPEN,Punjab,0,749,779,139,134,148,152,45,36,50,0,152,No
Application Fee Received,570,Bahawalpur,Punjab,0,559,500,75,97,39,92,19,81,200,0,75,No
Challan Printed,792,OPEN,Punjab,0,912,797,0,0,0,0,0,0,0,0,0,No
Application Fee Received,594,OPEN,Punjab,0,647,599,0,0,0,0,0,0,0,0,0,No
Application Received,534,OPEN,,0,722,549,96,0,99,0,92,0,0,0,0,No
Application Received,-30,OPEN,,0,0,0,0,0,0,0,0,,,0,0,No
Application Fee Received,982,OPEN,Punjab,52,672,839,148,165,137,44,160,0,0,0,148,No
Application Fee Received,903,OPEN,Punjab,45,720,755,96,153,161,122,0,0,0,0,153,No
Application Fee Received,871,OPEN,Punjab,50,895,748,117,128,129,46,151,39,50,0,128,No
Application Received,845,OPEN,Punjab,0,630,750,100,40,150,180,150,40,50,0,100,No
Application Fee Received,814,OPEN,Punjab,0,692,658,161,125,36,43,86,91,200,0,161,No
Application Fee Received,713,OPEN,Punjab,34,693,603,95,40,96,121,104,33,50,0,95,No
Challan Printed,1110,OPEN,Punjab,86,896,946,180,0,169,0,169,0,0,0,169,No
Challan Printed,984,OPEN,Punjab,57,824,824,145,126,150,41,46,165,200,0,165,No
Challan Printed,1138,OPEN,Punjab,72,866,971,169,177,194,45,194,40,50,0,177,No
Application Fee Received,992,OPEN,Punjab,27,826,824,173,151,112,140,0,0,0,0,173,No
Application Fee Received,713,OPEN,Punjab,0,855,718,113,0,110,0,132,0,0,0,0,No
Challan Printed,1015,OPEN,Punjab,44,904,862,46,158,43,140,158,168,200,0,158,No
Application Fee Received,883,OPEN,Punjab,54,758,764,104,155,151,34,150,0,0,0,104,No
Application Fee Received,1058,OPEN,Punjab,54,874,909,177,154,159,45,164,49,50,0,154,No
Application Fee Received,805,OPEN,Punjab,0,834,667,143,43,101,97,95,42,50,0,143,No
Challan Printed,789,OPEN,Punjab,0,640,698,76,44,26,129,156,175,200,0,76,No
Challan Printed,922,OPEN,Punjab,52,785,751,176,109,36,109,36,128,200,0,176,No
Application Fee Received,1052,OPEN,Punjab,42,843,895,175,160,188,40,45,142,200,0,142,No
Application Fee Received,647,OPEN,Punjab,51,624,561,106,55,85,105,0,0,0,0,106,No
Challan Printed,989,OPEN,Punjab,38,612,854,140,44,44,175,155,147,200,0,140,No
Application Received,765,OPEN,Punjab,0,630,670,100,100,100,100,0,0,0,0,100,No
Challan Printed,744,OPEN,Punjab,54,866,749,0,0,0,0,0,0,0,0,0,No
Application Fee Received,754,Bahawalpur,Punjab,48,646,678,81,130,40,126,41,167,200,0,81,No
Application Received,948,OPEN,Punjab,0,846,791,133,162,40,138,0,0,0,0,162,No
Challan Printed,826,OPEN,Punjab,0,798,725,150,115,106,47,46,127,200,0,106,No
Application Fee Received,633,Bahawalpur,Punjab,46,450,522,126,63,77,116,25,25,50,0,116,No
Challan Printed,1060,OPEN,Punjab,54,928,920,176,173,183,145,0,0,0,0,145,No
Challan Printed,1016,OPEN,Punjab,0,834,881,47,47,165,172,169,140,200,0,140,No
Application Fee Received,904,OPEN,Punjab,0,910,789,149,158,166,41,41,120,200,0,120,No
Challan Printed,915,OPEN,Punjab,0,811,820,45,44,140,130,110,100,200,0,100,No
Challan Printed,696,OPEN,Punjab,0,907,721,0,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,976,Bahawalpur,Punjab,55,854,839,142,42,40,157,161,151,200,1,142,Yes
Application Fee Received,602,OPEN,Punjab,39,654,517,95,0,0,0,0,0,0,0,95,No
Challan Printed,805,OPEN,Punjab,0,640,697,113,109,130,42,142,0,0,0,113,No
Application Fee Received,704,Bahawalpur,Punjab,27,744,622,97,0,0,0,0,0,0,0,97,No
Challan Printed,563,Bahawalpur,Punjab,40,678,568,0,0,0,0,0,0,0,0,0,No
Challan Printed,1044,OPEN,Sind,54,972,902,147,173,155,46,167,46,50,0,147,No
Application Fee Received,738,Bahawalpur,Punjab,40,728,591,152,82,38,83,27,92,200,0,152,No
Application Fee Received,753,Bahawalpur,Punjab,0,805,662,101,45,46,97,132,112,200,0,101,No
Application Fee Received,691,OPEN,Sind,0,768,645,51,51,31,44,39,31,50,0,51,No
Application Fee Received,959,OPEN,Baluchistan,0,787,817,147,31,40,93,133,138,170,0,147,No
Application Fee Received,834,OPEN,Baluchistan,0,645,709,135,38,36,103,107,102,170,0,135,No
Challan Printed,963,OPEN,Baluchistan,0,676,819,149,42,122,34,133,157,200,0,149,No
Application Fee Received,793,OPEN,Baluchistan,0,654,798,0,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,940,OPEN,Baluchistan,0,654,798,147,136,115,44,100,37,50,1,147,No
Application Fee Received,925,OPEN,Baluchistan,0,676,819,111,149,36,42,92,133,170,0,111,No
Application Fee Received,791,OPEN,Punjab,41,771,678,118,111,47,92,47,118,200,0,118,No
Application Fee Received,829,OPEN,Baluchistan,0,822,834,0,0,0,0,0,0,0,0,0,No
Application Fee Received,913,OPEN,Baluchistan,68,900,762,161,152,130,85,47,46,50,0,161,No
Application Fee Received,746,OPEN,Baluchistan,0,672,640,111,134,92,93,43,27,50,0,111,No
Application Fee Received,927,OPEN,Baluchistan,0,838,779,153,0,0,0,0,0,0,0,153,No
Application Fee Received,832,OPEN,Baluchistan,0,813,837,0,0,0,0,0,0,0,0,0,No
Application Fee Received,815,OPEN,Baluchistan,0,664,687,133,83,86,39,108,29,50,0,133,No
Application Received,727,OPEN,Baluchistan,0,559,732,0,0,0,0,0,0,0,0,0,No
Application Fee Received,893,OPEN,Baluchistan,0,626,749,149,133,33,140,97,0,0,0,149,No
Application Fee Received,866,OPEN,Baluchistan,0,725,729,142,126,154,100,31,38,50,0,142,No
Application Received,866,OPEN,Baluchistan,0,725,729,133,142,108,38,86,31,50,0,142,No
Application Fee Received,827,OPEN,Baluchistan,0,687,692,134,140,96,36,100,0,0,0,140,No
Admission Fee Challan Received,694,OPEN,Gilgit-Baltistan,0,653,592,112,84,133,56,0,0,0,1,112,No
Application Fee Received,802.914,OPEN,Punjab,44,514,787,38,53,71,72,0,40,100,0,0,No
Application Fee Received,885,OPEN,Punjab,55,655,750,140,130,115,45,46,140,200,0,0,No
Challan Printed,1015,OPEN,Punjab,44,904,862,46,158,43,140,158,168,200,0,0,No
Challan Printed,966,OPEN,Punjab,0,885,792,179,137,123,126,0,0,0,0,0,No
Challan Printed,1110,OPEN,Punjab,86,896,946,180,0,169,0,169,0,0,0,0,No
